"Position","Name","Type","Signal","Label"
"75","PB14","Output","GPIO_Output","LD3 [Red]"
"76","PB15","I/O","",""
"77","PD8","I/O","",""
"78","PD9","I/O","",""
"79","PD10","I/O","",""
"80","PD11","I/O","",""
"81","PD12","I/O","",""
"82","PD13","I/O","",""
"83","VSS","Power","",""
"84","VDD","Power","",""
"85","PD14","I/O","",""
"86","PD15","I/O","",""
"87","PG2","Output","GPIO_Output","LED2"
"88","PG3","Output","GPIO_Output","LED3"
"89","PG4","I/O","",""
"90","PG5","I/O","",""
"91","PG6","Output","GPIO_Output","USB_PowerSwitchOn [STMPS2151STR_EN]"
"92","PG7","Input","GPIO_Input","USB_OverCurrent [STMPS2151STR_FAULT]"
"93","PG8","I/O","",""
"94","VSS","Power","",""
"95","VDDUSB","Power","",""
"96","PC6","Output","GPIO_Output","LD_BEAM_EN"
"97","PC7","Output","GPIO_Output","LD_MTR_EN"
"98","PC8","I/O","TIM3_CH3",""
"99","PC9","Output","GPIO_Output","_LPWR_DISABLE"
"100","PA8","I/O","USB_OTG_FS_SOF","USB_SOF [TP1]"
"101","PA9","I/O","USART1_TX",""
"102","PA10","I/O","USART1_RX",""
"103","PA11","I/O","USB_OTG_FS_DM","USB_DM"
"104","PA12","I/O","USB_OTG_FS_DP","USB_DP"
"105","PA13","I/O","SYS_JTMS-SWDIO","TMS"
"106","VCAP_2","Power","",""
"107","VSS","Power","",""
"108","VDD","Power","",""
"109","PA14","I/O","SYS_JTCK-SWCLK","TCK"
"110","PA15","Output","GPIO_Output","_ESTOP_RESET"
"111","PC10","Output","GPIO_Output","LDR_TX"
"112","PC11","Input","GPIO_Input","LDR_RX"
"113","PC12","I/O","UART5_TX",""
"114","PD0","I/O","",""
"115","PD1","I/O","",""
"116","PD2","I/O","UART5_RX",""
"117","PD3","I/O","",""
"118","PD4","I/O","",""
"119","PD5","I/O","",""
"120","VSS","Power","",""
"121","VDDSDMMC","Power","",""
"122","PD6","I/O","",""
"123","PD7","I/O","",""
"124","PG9","I/O","USART6_RX",""
"125","PG10","Output","GPIO_Output","_ESTOP0"
"126","PG11","Output","GPIO_Output","STBY"
"127","PG12","Input","GPIO_Input","_ESTOP1"
"128","PG13","I/O","ETH_TXD0","RMII_TXD0 [LAN8742A-CZ-TR_TXD0]"
"129","PG14","I/O","USART6_TX",""
"130","VSS","Power","",""
"131","VDD","Power","",""
"132","PG15","Input","GPIO_Input","_ESTOP2"
"133","PB3","I/O","SYS_JTDO-SWO","SW0"
"134","PB4","I/O","",""
"135","PB5","I/O","",""
"136","PB6","I/O","",""
"137","PB7","Output","GPIO_Output","LD2 [Blue]"
"138","BOOT0","Boot","",""
"139","PB8","I/O","",""
"140","PB9","I/O","",""
"141","PE0","I/O","UART8_RX",""
"142","PE1","I/O","UART8_TX",""
"143","PDR_ON","Reset","",""
"144","VDD","Power","",""
